food_name,region,type,calories,protein_g,carbs_g,fat_g,fiber_g,category,ingredients,prep_time_mins,suitable_for_athletes,risk_level
Aloo Posto,Bengali,veg,280,8,35,12.0,4,lunch,"potatoes,poppy seeds,mustard oil",30,True,low
Shukto,Bengali,veg,180,6,22,8.0,5,lunch,"mixed vegetables,bitter gourd,milk",40,True,low
Cholar Dal,Bengali,veg,220,12,38,4.0,8,lunch,"bengal gram,coconut,ghee",35,True,low
Bhapa Doi,Bengali,veg,160,6,24,5.0,0,snack,"yogurt,condensed milk,cardamom",180,False,low
Luchi with Aloo Dum,Bengali,veg,420,8,55,18.0,3,breakfast,"flour,potatoes,spices",45,False,low
Mochar Ghonto,Bengali,veg,200,7,28,8.0,6,lunch,"banana flower,coconut,spices",50,True,low
Dhokar Dalna,Bengali,veg,260,14,32,9.0,5,lunch,"lentil cakes,tomato,spices",60,True,low
Begun Bhaja,Bengali,veg,180,3,18,12.0,4,snack,"eggplant,mustard oil,spices",20,True,low
Panta Bhat,Bengali,veg,150,4,32,1.0,2,breakfast,"fermented rice,onion,chili",480,True,low
Misti Doi,Bengali,veg,180,7,26,6.0,0,snack,"yogurt,jaggery",360,False,low
Macher Jhol,Bengali,non-veg,250,28,12,10.0,2,lunch,"fish,potatoes,tomatoes,turmeric",35,True,very_low
Kosha Mangsho,Bengali,non-veg,480,35,8,35.0,1,lunch,"mutton,onions,yogurt,spices",90,False,high
Chingri Malai Curry,Bengali,non-veg,320,24,10,22.0,1,dinner,"prawns,coconut milk,spices",40,True,low
Doi Maach,Bengali,non-veg,290,30,8,16.0,1,lunch,"fish,yogurt,mustard paste",45,True,very_low
Ilish Macher Paturi,Bengali,non-veg,350,32,5,24.0,1,dinner,"hilsa fish,mustard paste,banana leaf",35,True,low
Chicken Rezala,Bengali,non-veg,420,36,10,28.0,2,dinner,"chicken,yogurt,cashew,spices",55,False,moderate
Prawn Cutlet,Bengali,non-veg,280,22,18,14.0,2,snack,"prawns,breadcrumbs,egg",40,True,very_low
Fish Kalia,Bengali,non-veg,310,29,12,18.0,2,lunch,"fish,onion,yogurt,spices",45,True,low
Mutton Biryani Bengali Style,Bengali,non-veg,550,30,62,22.0,2,lunch,"mutton,rice,potato,spices",90,False,moderate
Chingri Malaikari,Bengali,non-veg,340,26,8,24.0,1,dinner,"prawns,coconut milk,spices",40,True,low
Idli Sambar,South,veg,180,8,36,2.0,4,breakfast,"rice,lentils,vegetables",20,True,low
Dosa with Chutney,South,veg,220,6,42,4.0,3,breakfast,"rice,lentils,coconut",25,True,low
Rasam Rice,South,veg,240,6,48,3.0,2,lunch,"rice,tamarind,tomatoes,spices",30,True,low
Avial,South,veg,160,5,20,8.0,6,lunch,"mixed vegetables,coconut,yogurt",35,True,low
Pongal,South,veg,280,10,45,8.0,3,breakfast,"rice,moong dal,pepper,ghee",30,True,low
Medu Vada,South,veg,200,7,24,9.0,3,breakfast,"urad dal,curry leaves,spices",30,True,low
Bisi Bele Bath,South,veg,320,12,52,8.0,5,lunch,"rice,lentils,vegetables,tamarind",45,True,low
Upma,South,veg,200,6,38,5.0,3,breakfast,"semolina,vegetables,spices",20,True,low
Coconut Chutney,South,veg,120,3,8,10.0,2,snack,"coconut,green chili,ginger",10,True,low
Lemon Rice,South,veg,260,5,48,6.0,2,lunch,"rice,lemon,peanuts,turmeric",20,True,low
Kootu,South,veg,180,8,26,6.0,5,lunch,"vegetables,lentils,coconut",35,True,low
Pesarattu,South,veg,210,10,35,4.0,4,breakfast,"green gram,rice,ginger",30,True,low
Uttapam,South,veg,240,8,40,6.0,3,breakfast,"rice,lentils,vegetables",25,True,low
Sambhar Vada,South,veg,280,10,38,10.0,4,breakfast,"urad dal,lentils,vegetables",40,True,low
Appam with Stew,South,veg,260,7,42,8.0,3,dinner,"rice,coconut milk,vegetables",45,True,low
Chettinad Chicken,South,non-veg,380,32,12,24.0,2,lunch,"chicken,coconut,fennel,spices",50,True,low
Fish Curry Kerala Style,South,non-veg,280,28,8,16.0,2,dinner,"fish,coconut,tamarind,curry leaves",40,True,very_low
Hyderabadi Biryani,South,non-veg,520,25,58,22.0,2,lunch,"rice,chicken,yogurt,saffron",90,False,moderate
Andhra Chicken Curry,South,non-veg,400,34,10,26.0,2,lunch,"chicken,tamarind,chili,spices",50,True,moderate
Prawn Masala,South,non-veg,320,26,12,20.0,2,dinner,"prawns,coconut,tamarind,spices",40,True,low
Fish Fry South Indian,South,non-veg,260,30,8,14.0,1,lunch,"fish,spices,curry leaves",25,True,very_low
Mutton Chettinad,South,non-veg,450,32,10,32.0,2,dinner,"mutton,coconut,fennel,pepper",75,False,high
Egg Curry South Style,South,non-veg,240,16,10,16.0,2,lunch,"eggs,coconut,tamarind,spices",30,True,low
Nadan Chicken Curry,South,non-veg,360,30,12,24.0,2,dinner,"chicken,coconut,curry leaves",45,True,low
Fish Moilee,South,non-veg,300,28,8,18.0,1,dinner,"fish,coconut milk,turmeric",35,True,low
Rajma Chawal,North,veg,350,15,58,6.0,12,lunch,"kidney beans,rice,tomatoes,onions",45,True,low
Chole Bhature,North,veg,520,18,72,18.0,10,breakfast,"chickpeas,flour,yogurt,spices",60,False,moderate
Palak Paneer,North,veg,280,16,12,20.0,4,lunch,"spinach,cottage cheese,cream",35,True,low
Dal Makhani,North,veg,320,14,38,12.0,8,dinner,"black lentils,kidney beans,butter,cream",240,False,low
Aloo Paratha,North,veg,380,8,52,14.0,4,breakfast,"wheat flour,potatoes,butter",40,False,low
Paneer Tikka,North,veg,320,20,8,24.0,2,snack,"cottage cheese,yogurt,spices",35,True,low
Aloo Gobi,North,veg,180,5,28,6.0,5,lunch,"potatoes,cauliflower,spices",30,True,low
Kadhi Pakora,North,veg,280,10,32,12.0,3,lunch,"yogurt,gram flour,spices",45,False,low
Matar Paneer,North,veg,300,16,18,18.0,4,lunch,"peas,cottage cheese,tomatoes",35,True,low
Baingan Bharta,North,veg,200,5,22,10.0,6,lunch,"eggplant,tomatoes,onions",40,True,low
Bhindi Masala,North,veg,160,4,20,8.0,5,lunch,"okra,onions,tomatoes,spices",30,True,low
Malai Kofta,North,veg,420,12,32,28.0,3,dinner,"cottage cheese,potato,cream,nuts",50,False,moderate
Sarson Ka Saag,North,veg,220,8,18,14.0,6,lunch,"mustard greens,spinach,butter",45,True,low
Dahi Bhalla,North,veg,240,8,32,9.0,3,snack,"lentil fritters,yogurt,tamarind",45,False,low
Pav Bhaji,North,veg,380,10,52,14.0,6,dinner,"mixed vegetables,butter,bread",40,False,low
Butter Chicken,North,non-veg,450,28,18,32.0,2,dinner,"chicken,butter,cream,tomatoes",50,False,high
Rogan Josh,North,non-veg,420,30,10,30.0,2,lunch,"mutton,yogurt,kashmiri chili,spices",90,False,moderate
Tandoori Chicken,North,non-veg,280,35,6,12.0,1,dinner,"chicken,yogurt,spices",240,True,very_low
Chicken Tikka Masala,North,non-veg,400,32,16,26.0,2,dinner,"chicken,tomato,cream,spices",45,False,moderate
Keema Matar,North,non-veg,380,28,12,26.0,3,lunch,"minced meat,peas,tomatoes",40,True,low
Fish Tikka,North,non-veg,240,32,6,10.0,1,snack,"fish,yogurt,spices",35,True,very_low
Chicken Korma,North,non-veg,460,30,14,32.0,2,dinner,"chicken,yogurt,cream,nuts",50,False,high
Mutton Keema,North,non-veg,400,32,8,28.0,2,lunch,"minced mutton,spices",45,True,moderate
Amritsari Fish,North,non-veg,320,28,18,16.0,2,snack,"fish,gram flour,spices",30,True,low
Chicken Changezi,North,non-veg,440,34,12,30.0,2,dinner,"chicken,tomatoes,cream,spices",50,False,moderate
Margherita Pizza,Italian,veg,280,12,34,10.0,2,lunch,"dough,tomato,mozzarella,basil",15,True,low
Pasta Pomodoro,Italian,veg,320,10,58,6.0,3,lunch,"pasta,tomatoes,garlic,basil",20,True,low
Pasta Carbonara (Veg),Italian,veg,420,16,52,16.0,2,dinner,"pasta,cream,cheese,pepper",25,False,low
Vegetable Lasagna,Italian,veg,360,18,42,12.0,4,dinner,"pasta,vegetables,ricotta,mozzarella",60,True,low
Caprese Salad,Italian,veg,200,12,6,14.0,1,lunch,"tomatoes,mozzarella,basil,olive oil",10,True,low
Penne Arrabbiata,Italian,veg,300,10,54,6.0,3,lunch,"pasta,tomatoes,chili,garlic",20,True,low
